cuerpo,detalle,fecha,id,id_comision,id_proyecto,tipo
A.G.,Entrada a Asamblea General.,2018-03-09,0,,138818,
A.G.,"Discusión. Tomo:98 Página:6 Diario:2          Se vota afirmativamente la creación de una Comisión Especial para organizar los homenajes a Wilson Ferreira Aldunate en ocasión del Centenario de su nacimiento, (70 en 70, UNANIMIDAD).- Intervenciones: Alcorta, Ricardo  Pag. ini:22 Pag. fin:23
Amado, Fernando  Pag. ini:15 Pag. fin:16
Gandini, Jorge  Pag. ini:26 Pag. fin:28
García, Javier  Pag. ini:6 Pag. fin:11
Larrañaga, Jorge  Pag. ini:11 Pag. fin:13
Martínez Huelmo, Rubén  Pag. ini:13 Pag. fin:15
Michelini, Rafael  Pag. ini:21 Pag. fin:22
Mieres, Pablo  Pag. ini:16 Pag. fin:18
Olaizola, Juan José  Pag. ini:18 Pag. fin:21
Rubio, Enrique  Pag. ini:23 Pag. fin:24
Viera, Nicolás  Pag. ini:24 Pag. fin:25",2018-03-15,1,2743.0,138818,
CSS,Entrada a Cámara de Senadores.,2016-11-14,2,,132654,CAMARA_ENTRADA
CSS,Se da cuenta al Cuerpo y pasa a comisión. Tomo:559 Página:45 Diario:44          ASUNTOS LABORALES Y SEGURIDAD SOCIAL,2016-11-15,3,314.0,132654,PASE_COMISION
CSS,Se ordena distribuido. ASUNTOS LABORALES Y SEGURIDAD SOCIAL Dist.1041/0,2016-11-15,4,314.0,132654,
CSS,Por resolución del Cuerpo continúa en Comisión. Tomo:563 Página:24 Diario:1          ASUNTOS LABORALES Y SEGURIDAD SOCIAL Se vota afirmativamente (20 en 21).-,2017-03-07,5,314.0,132654,
CSS,Se ordena distribuido. ASUNTOS LABORALES Y SEGURIDAD SOCIAL Dist.1169/0 Versión taquigráfica de la sesión del día 16 de marzo de 2017.,2017-03-16,6,314.0,132654,
CSS,Comisión aconseja su pase a Archivo. ASUNTOS LABORALES Y SEGURIDAD SOCIAL Nro. de Acta: 31.  Versión Taquigráfica: 1169 Por necesitar la iniciativa privativa del Poder Ejecutivo. Se realiza minuta de comunicación solicitando la iniciativa pertinente.,2017-03-16,7,314.0,132654,
CSS,Se eleva a Secretaría,2017-03-16,8,,132654,
CSS,"Archívese  Por resolución del Cuerpo se archiva por haberse remplazado por un proyecto de minuta de comunicación por requerir iniciativa del Poder Ejecutivo.
(20 en 22), pág. 513.-",2017-06-29,9,,132654,
