,id_comision,id_senador,fecha_reunion,citacion,falta_con_aviso,falta_sin_aviso,licencia,otras_comisiones
0,354,922,2015-04-15,1,0,0,0,0
1,354,922,2015-06-03,1,0,0,0,0
2,354,922,2015-06-10,1,0,0,0,0
3,354,922,2015-06-17,1,0,0,0,0
4,354,922,2015-08-05,1,0,0,0,0
5,354,922,2015-08-12,1,0,0,0,1
6,354,922,2016-03-02,1,0,0,0,0
7,354,922,2016-03-09,1,0,0,0,0
8,354,922,2016-05-04,1,0,0,0,0
9,354,922,2016-05-18,1,0,0,0,0
10,354,922,2016-06-15,1,0,0,0,0
11,354,922,2016-08-03,1,0,0,0,0
12,354,922,2016-08-10,1,0,0,0,0
13,354,922,2016-10-05,1,0,0,0,0
14,354,922,2016-10-12,1,0,0,0,0
15,354,922,2016-11-09,1,0,0,0,0
16,354,922,2016-11-16,1,0,0,0,0
17,354,922,2016-12-07,1,0,0,0,1
18,354,922,2016-12-14,1,0,0,0,0
19,354,922,2017-04-05,1,0,0,0,0
20,354,922,2017-06-14,1,0,0,0,0
21,354,922,2017-07-05,1,0,0,0,0
22,354,922,2017-07-19,1,0,0,0,0
23,354,922,2017-08-02,1,0,0,0,0
24,354,922,2017-08-09,1,0,0,0,0
25,354,922,2017-10-04,1,0,0,0,0
26,354,922,2017-10-11,1,0,0,0,0
27,354,922,2017-11-08,1,0,0,0,0
28,354,922,2017-12-06,1,0,0,0,0
29,354,922,2018-03-07,1,0,0,0,0
