,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,598,IRPF CAT II. RECAUDACIÓN POR FRANJAS ETAREAS. INFORMES.,2019-04-02,143078,DGI*
1,598,"FONDO DESARROLLO INTERIOR. CÁLCULO, CONTABILIZACIÓN Y EJECUCIÓN PRESUPUESTAL. INFORMES.",2019-02-26,142515,TRIBUNAL CUENTAS
2,598,INVERSIONES EJECUTADAS. MINISTERIO TRANSPORTE Y OBRAS PÚBLICAS. EJERCICIO 2017. INFORMES.,2018-10-05,141479,MEF*
3,598,INVERSIONES EJECUTADAS. MINISTERIO TRANSPORTE Y OBRAS PÚBLICAS. EJERCICIO 2017. INFORMES.,2018-10-05,141479,MTOP*
4,598,INVERSIONES EJECUTADAS. MINISTERIO TRANSPORTE Y OBRAS PÚBLICAS. EJERCICIO 2017. INFORMES.,2018-10-05,141479,OPP*
5,598,FONDO VIVIENDA. FONDO TUTELA SOCIAL POLICIAL. PRÉSTAMOS CANTIDAD Y CALIDAD. INFORMES,2018-10-02,141415,MINISTERIO INTERIOR
6,598,VINCULOS LABORALES. EMPRESAS CON CAPITAL ACCIONARIO. INFORMES.,2018-08-21,140929,ANTEL*
7,598,VINCULOS LABORALES. EMPRESAS CON CAPITAL ACCIONARIO. INFORMES.,2018-08-21,140929,ANCAP*
8,598,VINCULOS LABORALES. EMPRESAS CON CAPITAL ACCIONARIO. INFORMES.,2018-08-21,140929,UTE*
9,598,VINCULOS LABORALES. EMPRESAS CON CAPITAL ACCIONARIO. INFORMES.,2018-08-21,140929,BPS*
10,598,VINCULOS LABORALES. EMPRESAS CON CAPITAL ACCIONARIO. INFORMES.,2018-08-21,140929,ONSC*
11,598,HOGAR ANCIANOS CHUY. RESIDENTES. SITUACIÓN. INFORMES.,2018-06-21,140187,MSP*
12,598,INEFOP. COMPRA INMUEBLE. INFORMES.,2018-06-06,140013,MTSS*
13,598,FIBRA ÓPTICA ROCHA (DPTO). TRAZADO E INSTALACIÓN. INFORMES.,2018-05-29,139905,ANTEL*
14,598,GOBIERNOS DEPARTAMENTALES. FONDO DESARROLLO INTERIOR. TRANSFERENCIAS. INFORMES.,2018-03-13,138857,MEF*
15,598,GOBIERNOS DEPARTAMENTALES. FONDO DESARROLLO INTERIOR. TRANSFERENCIAS. INFORMES.,2018-03-13,138857,OPP*
16,598,PLANES DE ACCESO A VIVIENDA. INFORMES.,2017-10-03,136834,MVOTMA*
17,598,AFE. PADRONES. CANTIDAD Y UBICACIÓN. INFORMES.,2017-09-13,136640,AFE*
18,598,LA CORONILLA (ROCHA). CANAL ANDREONI. PUENTE. CLAUSURA. INFORMES.,2017-07-26,135903,MTOP*
19,598,BAÑADOS ROCHA. OBRAS REGULACION HIDRICA. MTOP. INTERVENCION. INFORMES.,2017-05-31,135046,MTOP*
20,598,LA CORONILLA (ROCHA). AGUA POTABLE. PROVISION. INFORMES.,2017-05-31,135047,OSE*
21,598,ESTADIO CENTENARIO. CÁMARAS RECONOCIMIENTO FACIAL. INSTALACIÓN. INFORMES,2016-12-13,133136,MINISTERIO INTERIOR
22,598,ARMADA NACIONAL. FRONTERA CON BRASIL. AGUAS TERRITORIALES. PESCA ILEGAL. CONTROL. INFORMES.,2016-11-30,132926,MDN*
23,598,AFAP. RÉGIMEN MIXTO. REVOCACIÓN. INFORMES.,2015-11-04,127180,BPS*
24,598,SODRE. PERSONAS. CONTRATOS. INFORMES.,2015-08-18,126059,SODRE*
25,598,ANTEL ARENA. PLAN DE GESTIÓN. PERSONAS. CONTRATOS.,2015-08-18,126063,ANTEL*
