,id_senador,fecha,citado,asistencia,falta_con_aviso,faltas_sin_aviso,con_licencia,pasaje_presidencia
0,11536,2015-10-13,1,1,0,0,0,0
1,11536,2015-10-14,1,1,0,0,0,0
2,11536,2015-10-20,1,1,0,0,0,0
3,11536,2015-11-17,1,1,0,0,0,0
4,11536,2015-12-08,1,1,0,0,0,0
5,11536,2015-12-09,1,1,0,0,0,0
6,11536,2015-12-22,1,1,0,0,0,0
7,11536,2015-12-22,1,1,0,0,0,0
8,11536,2015-12-28,1,1,0,0,0,0
9,11536,2015-12-28,1,1,0,0,0,0
10,11536,2016-02-03,1,1,0,0,0,0
11,11536,2016-05-17,1,1,0,0,0,0
12,11536,2016-05-18,1,1,0,0,0,0
13,11536,2016-06-01,1,1,0,0,0,0
14,11536,2016-07-06,1,1,0,0,0,0
15,11536,2016-08-24,1,1,0,0,0,0
16,11536,2016-08-29,1,1,0,0,0,0
17,11536,2016-09-14,1,1,0,0,0,0
18,11536,2016-09-20,1,1,0,0,0,0
19,11536,2016-09-21,1,1,0,0,0,0
20,11536,2016-10-11,1,1,0,0,0,0
21,11536,2016-11-22,1,1,0,0,0,0
22,11536,2016-11-23,1,1,0,0,0,0
23,11536,2016-11-30,1,1,0,0,0,0
24,11536,2016-12-28,1,1,0,0,0,0
25,11536,2016-12-29,1,1,0,0,0,0
26,11536,2017-02-02,1,1,0,0,0,0
27,11536,2017-03-14,1,1,0,0,0,0
28,11536,2017-03-15,1,1,0,0,0,0
29,11536,2017-03-21,1,1,0,0,0,0
30,11536,2017-04-18,1,1,0,0,0,0
31,11536,2017-05-02,1,1,0,0,0,0
32,11536,2017-05-03,1,1,0,0,0,0
33,11536,2017-07-05,1,1,0,0,0,0
34,11536,2017-10-17,1,1,0,0,0,0
35,11536,2017-10-18,1,1,0,0,0,0
36,11536,2017-11-01,1,1,0,0,0,0
37,11536,2017-11-29,1,1,0,0,0,0
38,11536,2017-12-12,1,1,0,0,0,0
39,11536,2017-12-13,1,1,0,0,0,0
40,11536,2017-12-19,1,1,0,0,0,0
41,11536,2018-02-21,1,1,0,0,0,0
42,11536,2018-02-27,1,1,0,0,0,0
43,11536,2018-04-18,1,1,0,0,0,0
44,11536,2018-05-02,1,1,0,0,0,0
45,11536,2018-08-21,1,1,0,0,0,0
46,11536,2018-12-19,1,0,1,0,0,0
