,id_ficha,fecha,cuerpo,estado,tipo_ref,ref_id
0,135674,2017-07-12,CSS,ENTRADA,,
1,135674,2017-07-12,CSS,ENTRADA,COMISION,311.0
2,135674,2017-08-15,CSS,TRATAMIENTO,COMISION,311.0
3,135674,2017-08-22,CSS,TRATAMIENTO,COMISION,311.0
4,135674,2017-09-05,CSS,TRATAMIENTO,COMISION,311.0
5,135674,2017-09-19,CSS,TRATAMIENTO,COMISION,311.0
6,135674,2017-09-26,CSS,APRUEBA,COMISION,311.0
7,135674,2017-10-03,CSS,APRUEBA,,
8,135674,2017-10-10,CRR,ENTRADA,,
9,135674,2017-10-10,CRR,ENTRADA,COMISION,75.0
10,135674,2017-10-17,CRR,APRUEBA,COMISION,75.0
11,135674,2017-10-17,CRR,APRUEBA,,
12,135674,2017-11-01,P.E.,APRUEBA,LEY,19549.0
