,id_ficha,fecha,cuerpo,estado,tipo_ref,ref_id
0,127270,2015-11-10,CRR,ENTRADA,,
1,127270,2015-11-10,CRR,ENTRADA,COMISION,75.0
2,127270,2016-03-09,CRR,TRATAMIENTO,COMISION,75.0
3,127270,2016-08-10,CRR,APRUEBA,COMISION,75.0
4,127270,2016-08-17,CRR,APRUEBA,,
5,127270,2016-08-22,CSS,ENTRADA,,
6,127270,2016-08-24,CSS,ENTRADA,COMISION,317.0
7,127270,2016-10-12,CSS,TRATAMIENTO,COMISION,317.0
8,127270,2017-06-27,CSS,APRUEBA,COMISION,311.0
9,127270,2017-07-04,CSS,APRUEBA,,
10,127270,2017-07-13,P.E.,APRUEBA,LEY,19509.0
