,id_ficha,fecha,cuerpo,estado,tipo_ref,ref_id
0,135085,2017-06-05,CSS,ENTRADA,,
1,135085,2017-06-06,CSS,ENTRADA,COMISION,311.0
2,135085,2017-06-13,CSS,TRATAMIENTO,COMISION,311.0
3,135085,2017-06-20,CSS,TRATAMIENTO,COMISION,311.0
4,135085,2017-06-27,CSS,TRATAMIENTO,COMISION,311.0
5,135085,2017-07-04,CSS,TRATAMIENTO,COMISION,311.0
6,135085,2017-07-11,CSS,TRATAMIENTO,COMISION,311.0
7,135085,2017-07-25,CSS,TRATAMIENTO,COMISION,311.0
8,135085,2017-08-08,CSS,TRATAMIENTO,COMISION,311.0
9,135085,2017-08-08,CSS,APRUEBA,COMISION,311.0
10,135085,2017-08-23,CSS,APRUEBA,,
11,135085,2017-09-05,CRR,ENTRADA,,
12,135085,2017-09-05,CRR,ENTRADA,COMISION,75.0
13,135085,2017-09-27,CRR,TRATAMIENTO,COMISION,75.0
14,135085,2017-10-04,CRR,TRATAMIENTO,COMISION,75.0
15,135085,2017-10-11,CRR,TRATAMIENTO,COMISION,75.0
16,135085,2017-10-17,CRR,APRUEBA,COMISION,75.0
17,135085,2017-10-18,CSS,APRUEBA,,
18,135085,2017-10-25,P.E.,APRUEBA,LEY,19551.0
