,id_ficha,fecha,cuerpo,estado,tipo_ref,ref_id
0,137133,2017-10-17,CRR,ENTRADA,,
1,137133,2017-10-17,CRR,ENTRADA,COMISION,824.0
2,137133,2018-03-05,CRR,TRATAMIENTO,COMISION,1095.0
3,137133,2018-03-12,CRR,TRATAMIENTO,COMISION,1095.0
4,137133,2018-06-18,CRR,TRATAMIENTO,COMISION,1095.0
5,137133,2018-07-02,CRR,TRATAMIENTO,COMISION,1095.0
6,137133,2018-07-09,CRR,TRATAMIENTO,COMISION,1095.0
7,137133,2018-07-16,CRR,TRATAMIENTO,COMISION,1095.0
8,137133,2018-08-06,CRR,TRATAMIENTO,COMISION,1095.0
9,137133,2018-09-17,CRR,TRATAMIENTO,COMISION,1095.0
10,137133,2018-10-01,CRR,TRATAMIENTO,COMISION,1095.0
11,137133,2018-11-05,CRR,TRATAMIENTO,COMISION,1095.0
12,137133,2018-11-12,CRR,TRATAMIENTO,COMISION,1095.0
13,137133,2018-11-26,CRR,TRATAMIENTO,COMISION,1095.0
14,137133,2018-12-10,CRR,TRATAMIENTO,COMISION,1095.0
15,137133,2018-12-17,CRR,TRATAMIENTO,COMISION,1095.0
16,137133,2019-03-11,CRR,TRATAMIENTO,COMISION,1095.0
