,id_ficha,fecha,cuerpo,estado,tipo_ref,ref_id
0,132929,2016-11-30,CSS,ENTRADA,,
1,132929,2016-11-30,CSS,ENTRADA,COMISION,311.0
2,132929,2017-04-04,CSS,TRATAMIENTO,COMISION,311.0
3,132929,2017-04-18,CSS,TRATAMIENTO,COMISION,311.0
4,132929,2017-05-16,CSS,TRATAMIENTO,COMISION,311.0
5,132929,2018-07-24,CSS,TRATAMIENTO,COMISION,311.0
6,132929,2018-07-31,CSS,APRUEBA,COMISION,311.0
7,132929,2018-08-08,CSS,APRUEBA,,
8,132929,2018-08-14,CRR,ENTRADA,,
9,132929,2018-08-14,CRR,ENTRADA,COMISION,75.0
10,132929,2018-10-03,CRR,TRATAMIENTO,COMISION,75.0
11,132929,2018-10-10,CRR,TRATAMIENTO,COMISION,75.0
12,132929,2018-10-31,CRR,APRUEBA,COMISION,75.0
13,132929,2018-12-05,CSS,ENTRADA,COMISION,311.0
14,132929,2018-12-12,CSS,APRUEBA,,
15,132929,2018-12-21,P.E.,APRUEBA,LEY,19726.0
