detalle,fecha,id_senador,tipo
"Convocado a la Cámara de Senadores por el  lema, sublema MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD hasta el 14/12/2016 00:00  tomo 0 pag.0 d.s.0",2015-02-15 00:00:00,5146,
"Interviene en la discusión. PROYECTO DE RESOLUCION                   (Elección de Secretario/Prosecretario): Carpeta. CSS/68/2015; CHARLONE, Silvana. PROSECRETARIA CÁMARA SENADORES. DESIGNACIÓN.  tomo 533 pág. 643  d.s. 3",2015-03-03 00:00:00,5146,INTERVIENE
Interviene en la discusión. ASUNTO VARIO                             (Carpeta Permanente): Carpeta. CSS/35/2015; COMISIÓN ADMINISTRATIVA PODER LEGISLATIVO. (XLVIII LEGISLATURA). MIEMBROS. ELECCIÓN.  tomo 533 pág. 635  d.s. 3,2015-03-03 00:00:00,5146,INTERVIENE
"Interviene en la discusión. PROYECTO DE RESOLUCION                   (Elección de Secretario/Prosecretario): Carpeta. CSS/66/2015; MONTERO, José Pedro. SECRETARIO REDACTOR CAMARA SENADORES. DESIGNACIÓN.  tomo 533 pág. 638  d.s. 3",2015-03-03 00:00:00,5146,INTERVIENE
Interviene en la discusión. ASUNTO VARIO                             (Carpeta Permanente): Carpeta. CSS/33/2015; VICEPRESIDENTES. SENADO. (XLVIII LEGISLATURA). ELECCIÓN  tomo 533 pág. 633  d.s. 3,2015-03-03 00:00:00,5146,INTERVIENE
Interviene en la discusión. ASUNTO VARIO                             (Carpeta Permanente): Carpeta. CSS/33/2015; VICEPRESIDENTES. SENADO. (XLVIII LEGISLATURA). ELECCIÓN  tomo 534 pág. 5  d.s. 4,2015-03-10 00:00:00,5146,INTERVIENE
Interviene en la discusión general. PROYECTO DE LEY: Carpeta. CSS/170/2015; MUNICIPIOS Y DISTRITOS ELECTORALES. NOMINA. APROBACION.  tomo 534 pág. 96  d.s. 6,2015-03-18 00:00:00,5146,INTERVIENE
Interviene en la discusión general. PROYECTO DE LEY: Carpeta. CSS/170/2015; MUNICIPIOS Y DISTRITOS ELECTORALES. NOMINA. APROBACION.  tomo 534 pág. 100  d.s. 6,2015-03-18 00:00:00,5146,INTERVIENE
Presenta el proyecto de resolución. Carpeta: CSS/180/2015; SEGURIDAD PÚBLICA Y CONVIVENCIA. COMISIÓN ESPECIAL. DESIGNACIÓN.,2015-04-07 00:00:00,5146,
Presenta el proyecto de declaración. Carpeta: CSS/182/2015; UNIVERSIDAD GARISSA. ATENTADO. VÍCTIMAS. SOLIDARIDAD. DECLARACIÓN.,2015-04-07 00:00:00,5146,
Solicita la realización de sesión de la Cámara de Senadores en régimen de Comisión General invitando a l Sr. Danilo Astori (MINISTRO DE ECONOMIA Y FINANZAS - MEF*) CSS/181/2015; ECONOMÍA NACIONAL. PERSPECTIVAS Y ESTADO ACTUAL. INFORME. MINISTRO ECONOMÍA Y FINANZAS. LLAMADO A SALA.,2015-04-07 00:00:00,5146,
"Informante en la comisión ASUNTOS ADMINISTRATIVOS (CSS) SOLICITUD DE VENIA                       (Designación): Carpeta: CSS/150/2015; NAVEIRO CARRIZO, Sylvia Teresa. BROU. SEGUNDA VICEPRESIDENTA. DESIGNACIÓN. VENIA.",2015-04-07 00:00:00,5146,INFORMA
"Informante en la comisión ASUNTOS ADMINISTRATIVOS (CSS) SOLICITUD DE VENIA                       (Designación): Carpeta: CSS/151/2015; RODRÍGUEZ CABRERA, Adriana Renee. BROU. VOCAL.  DESIGNACIÓN. VENIA.",2015-04-07 00:00:00,5146,INFORMA
"Informante en la comisión ASUNTOS ADMINISTRATIVOS (CSS) SOLICITUD DE VENIA                       (Designación): Carpeta: CSS/155/2015; LINDNER YAQUINTA, Marisa. RODRÍGUEZ HERRERA, Fernando. INAU.  PRESIDENTA Y VICEPRESIDENTE. DESIGNACIÓN. VENIA.",2015-04-07 00:00:00,5146,INFORMA
"Informante en la comisión ASUNTOS ADMINISTRATIVOS (CSS) SOLICITUD DE VENIA                       (Designación): Carpeta: CSS/176/2015; MUÑIZ JIMÉNEZ, María Susana. ARDUS CASTRO, Mauricio Daniel. RODRÍGUEZ RIENZI, Jorge Daniel. ASSE. PRESIDENTE, VICEPRESIDENTE Y VOCAL. DESIGNACIÓN. VENIA.",2015-04-07 00:00:00,5146,INFORMA
Interviene en la discusión. PROYECTO DE RESOLUCION                   (Creación comisión especial): Carpeta. CSS/180/2015; SEGURIDAD PÚBLICA Y CONVIVENCIA. COMISIÓN ESPECIAL. DESIGNACIÓN.  tomo 534 pág. 145  d.s. 7,2015-04-07 00:00:00,5146,INTERVIENE
Interviene en la discusión. PROYECTO DE RESOLUCION                   (Creación comisión especial): Carpeta. CSS/180/2015; SEGURIDAD PÚBLICA Y CONVIVENCIA. COMISIÓN ESPECIAL. DESIGNACIÓN.  tomo 534 pág. 146  d.s. 7,2015-04-07 00:00:00,5146,INTERVIENE
Interviene en la exposición verbal. EXPOSICION VERBAL                        (Autorizada):  Asunto: 124908; FUERZAS ARMADAS. VENIA. SOLICITUDES. PLANTEAMIENTO POLÍTICO. EXPOSICIÓN  tomo 534 pág. 190  d.s. 8,2015-04-08 00:00:00,5146,INTERVIENE
"Interviene en la discusión. SOLICITUD DE VENIA                       (Designación): Carpeta. CSS/150/2015; NAVEIRO CARRIZO, Sylvia Teresa. BROU. SEGUNDA VICEPRESIDENTA. DESIGNACIÓN. VENIA.  tomo 534 pág. 199  d.s. 8",2015-04-08 00:00:00,5146,INTERVIENE
"Interviene en la discusión. SOLICITUD DE VENIA                       (Designación): Carpeta. CSS/151/2015; RODRÍGUEZ CABRERA, Adriana Renee. BROU. VOCAL.  DESIGNACIÓN. VENIA.  tomo 534 pág. 200  d.s. 8",2015-04-08 00:00:00,5146,INTERVIENE
"Interviene en la discusión. SOLICITUD DE VENIA                       (Designación): Carpeta. CSS/176/2015; MUÑIZ JIMÉNEZ, María Susana. ARDUS CASTRO, Mauricio Daniel. RODRÍGUEZ RIENZI, Jorge Daniel. ASSE. PRESIDENTE, VICEPRESIDENTE Y VOCAL. DESIGNACIÓN. VENIA.  tomo 534 pág. 202  d.s. 8",2015-04-08 00:00:00,5146,INTERVIENE
"Interviene en la discusión. SOLICITUD DE VENIA                       (Designación): Carpeta. CSS/155/2015; LINDNER YAQUINTA, Marisa. RODRÍGUEZ HERRERA, Fernando. INAU.  PRESIDENTA Y VICEPRESIDENTE. DESIGNACIÓN. VENIA.  tomo 534 pág. 210  d.s. 8",2015-04-08 00:00:00,5146,INTERVIENE
"Informante en la comisión ASUNTOS ADMINISTRATIVOS (CSS) SOLICITUD DE VENIA                       (Designación): Carpeta: CSS/141/2015; GALLI MARISTAN, Heber. LAGOMARSINO PAYSSE, Gabriel Ignacio. OIZ MÁRQUEZ, María del Rosario. BLANCO MARTÍNEZ, Aníbal Carlos. BPS. PRESIDENTE, VICEPRESIDENTE Y DIRECTORES. DESIGNACIÓN. VENIA.",2015-04-13 00:00:00,5146,INFORMA
