,id_ficha,fecha,cuerpo,estado,tipo_ref,ref_id
0,135482,2017-06-29,CSS,ENTRADA,,
1,135482,2017-06-29,CSS,ENTRADA,COMISION,317.0
2,135482,2017-07-05,CSS,TRATAMIENTO,COMISION,317.0
3,135482,2017-07-12,CSS,TRATAMIENTO,COMISION,317.0
4,135482,2017-07-26,CSS,TRATAMIENTO,COMISION,317.0
5,135482,2017-10-04,CSS,TRATAMIENTO,COMISION,317.0
6,135482,2017-10-11,CSS,TRATAMIENTO,COMISION,317.0
7,135482,2017-10-25,CSS,TRATAMIENTO,COMISION,317.0
8,135482,2017-11-22,CSS,TRATAMIENTO,COMISION,317.0
9,135482,2017-11-22,CSS,APRUEBA,COMISION,317.0
10,135482,2017-12-05,CSS,APRUEBA,,
11,135482,2017-12-06,CRR,ENTRADA,,
12,135482,2017-12-06,CRR,ENTRADA,COMISION,211.0
13,135482,2018-05-15,CSS,ENTRADA,COMISION,317.0
14,135482,2018-06-13,CSS,TRATAMIENTO,COMISION,317.0
15,135482,2018-07-04,CSS,APRUEBA,,
16,135482,2018-07-13,P.E.,APRUEBA,LEY,19641.0
