,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,9891,MENORES INSTITUCIONALIZADOS. INTERNACIÓN. COSTOS,2019-03-25,143021,INAU*
1,9891,ARMAS DE FUEGO. UTILIZACIÓN. TENECIA. HABILITACIÓN. INFORMES.,2019-03-25,143023,MINISTERIO INTERIOR
2,9891,MENORES INFRACTORES. REHABILITACIÓN. COSTOS.,2019-03-25,143019,INISA*
3,9891,ADOLESCENTES PRIVADOS DE LIBERTAD. SITUACIÓN. INFORMES,2018-11-03,141805,INISA*
4,9891,MENORES. ADOPCIÓN. PROCESO. INFORMES.,2018-05-16,139765,INAU*
5,9891,MICROCHIP CANINO. IMPLANTACIÓN. REGISTRO. INFORMES,2017-10-03,136897,COTRYBA*
6,9891,PERSONAS CON DISCAPACIDAD. ORGANISMOS PÚBLICOS. INGRESOS. CUMPLIMIENTO. INFORMES.,2017-07-10,135629,ONSC*
7,9891,COMISIÓN ZOONOSIS (NACIONAL HONORARIA). CASTRACIONES. VENTA PATENTES. INFORMES.,2017-06-08,135191,COMISION NACIONAL HONORARIA ZOONOSIS
8,9891,AFE. SITUACION FINANCIERO-CONTABLE. INFORMES.,2017-06-06,135133,AFE*
9,9891,CAJA PROFESIONALES UNIVERSITARIOS. DIVERSOS ASPECTOS. INFORMES.,2017-04-24,134493,MTSS*
10,9891,MERCADO ELÉCTRICO. LEY Nº 16.832. REGLAMENTACIÓN. INFORMES.,2017-04-06,134373,UTE*
11,9891,MERCADO ELÉCTRICO. LEY Nº 16.832. REGLAMENTACIÓN. INFORMES.,2017-04-06,134373,DIRECCION NACIONAL ENERGIA
12,9891,MERCADO ELÉCTRICO. LEY Nº 16.832. REGLAMENTACIÓN. INFORMES.,2017-04-06,134373,ADME*
13,9891,MERCADO ELÉCTRICO. LEY Nº 16.832. REGLAMENTACIÓN. INFORMES.,2017-04-06,134373,URSEA*
14,9891,FONDO DE SOLIDARIDAD. FUNCIONAMIENTO. INFORMES,2017-04-03,134275,MEC*
15,9891,TRABAJO INFANTIL Y ADOLESCENTE. INFORMES.,2017-04-03,134270,MTSS*
16,9891,TRABAJO INFANTIL Y ADOLESCENTE. INFORMES.,2017-04-03,134270,MIDES*
17,9891,MIDES. PERSONAS EN SITUACIÓN DE CALLE. REFUGIOS. INFORMES,2016-05-03,129398,MIDES*
18,9891,PROTECCIÓN INTEGRAL. DISCAPACIDAD. LEY Nº 18.651. REGLAMENTACIÓN. INFORMES.,2016-04-27,129297,MIDES*
19,9891,SISTEMA NACIONAL DE CUIDADOS. IMPLEMENTACIÓN. INFORME.,2016-03-08,128543,SNIC*
20,9891,INAU. ADOPCIÓN. PROCESO. INFORME.,2016-03-08,128544,INAU*
21,9891,PENSIÓN POR INVALIDEZ. OTORGAMIENTO. INFORMES.,2015-10-27,127070,BPS*
22,9891,PERSONAS CAPACIDADES DIFERENTES. ORGANISMOS PÚBLICOS. INGRESO (LEY 18651). CUMPLIMIENTO.,2015-08-04,125763,ONSC*
23,9891,ADOPCIÓN. CÓDIGO NIÑEZ Y ADOLESCENCIA. CUMPLIMIENTO. NORMAS. INFORMES.,2015-08-04,125766,INAU*
24,9891,SIRPA. ESTABLECIMIENTOS. RECLUSIÓN. CONDICIONES. INFORMES.,2015-08-04,125767,SIRPA*
25,9891,ANTEL. PUBLICIDAD Y DONACIONES. INFORMES.,2015-03-20,123841,ANTEL*
26,9891,PUBLICIDAD OFICIAL. GASTOS. DONACIONES. (2013-2014)ANTEL.,2015-03-20,123840,ANTEL*
27,9891,ÁREA DEFENSA CONSUMIDOR (ADECO). CLIENTES ANTEL. PETICIONES.,2015-03-20,123842,MEF*
28,9891,ANCAP. PUBLICIDAD Y DONACIONES. INFORMES.,2015-03-20,123844,ANCAP*
29,9891,FONDES. BROU. FONDOS. TRANSFERENCIAS.,2015-03-20,123843,BROU*
